$c_start央视频道$c_end
双色 3D,rtsp://183.59.156.50/PLTV/88888905/224/3221228289/10000100000000060000000007781467_0.smil?0&accountinfo=%7E%7EV2.0%7Ez2AWP-zqo9KD6UbN3pARPg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2#http://39.136.66.39/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
CCTV01-综合,http://121.60.151.9/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR#http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV02-财经,http://111.59.189.40:8445/tsfile/live/1001_1.m3u8
CCTV03-综艺,http://111.59.189.40:8445/tsfile/live/1002_1.m3u8
CCTV04-国际,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV4K-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV05-体育,http://111.59.189.40:8445/tsfile/live/0113_1.m3u8
CCTV5+-体育赛事,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
CCTV06-电影,http://111.59.189.40:8445/tsfile/live/1004_1.m3u8
CCTV07-军事,http://111.59.189.40:8445/tsfile/live/1005_1.m3u8
CCTV08-电视剧,http://111.59.189.40:8445/tsfile/live/1006_1.m3u8
CCTV09-记录,http://111.59.189.40:8445/tsfile/live/1007_1.m3u8
CCTV10-科教,http://111.59.189.40:8445/tsfile/live/1008_1.m3u8
CCTV11-戏曲,rtsp://183.59.156.50/PLTV/88888905/224/3221229858/10000100000000060000000010595398_0.smil?0&accountinfo=%7E%7EV2.0%7ElJjNhC1QR9nYivNY1m6PzA%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV12-社会与法,http://111.59.189.40:8445/tsfile/live/1010_1.m3u8
CCTV13-新闻,http://111.59.189.40:8445/tsfile/live/1011_1.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225812/index.m3u8#http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8
CNC中文新闻,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CCTV14-少儿,http://111.59.189.40:8445/tsfile/live/1012_1.m3u8
CCTV15-音乐,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225513/index.m3u8
CCTV16-奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8
CCTV17-农业农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV4-中文国际美洲,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8 
$c_start卫视频道$c_end
湖南卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227108/10000100000000060000000000937811_0.smil?0&accountinfo=%7E%7EV2.0%7E4f21W7Pmo35gSpZnVsGfjg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
